user_23,user_55,user_324,user_64,user_432,user_2,user_543,user_99,user_5,user_321,movieId
0.0,3.1685608419799447,4.0144713018179035,0.0,0.0,4.552623688155922,4.658334288327655,4.095399103831948,0.0,4.014142813313575,1
0.0,2.7021739994981298,3.2073126223436623,0.0,0.0,3.5526236881559217,4.400718348564501,4.061673743425767,3.498441264585005,0.0,2
0.0,2.519170639283317,2.910438335416013,0.0,0.0,3.5526236881559217,4.529378402903811,4.684093471351531,0.0,0.0,3
2.411918225315355,0.0,0.0,0.0,3.2503205128205126,0.0,0.0,0.0,0.0,0.0,4
0.0,2.4036641500159845,1.9968855788761002,0.0,0.0,0.0,3.5997807017543857,3.1721475188384236,0.0,0.0,5
0.0,3.3181843675338847,3.532629635787896,0.0,0.0,5.552623688155922,5.654987119607606,4.449803922656309,3.9970844292957994,4.2291338169601875,6
0.0,0.0,0.0,0.0,3.4175852095793338,0.0,0.0,2.0405847515275486,0.0,3.3714285714285714,7
0.0,0.0,0.0,0.0,0.0,0.0,2.384874960409645,0.0,1.0454545454545454,0.0,8
0.0,0.0,0.0,0.0,0.0,0.0,3.5997807017543857,3.3790356394129977,0.0,3.7210661247976358,9
0.0,2.914478048624381,3.1026335308864597,3.984675722551712,0.0,4.052623688155922,4.005481048500575,0.0,3.3331378299120233,3.191738331577989,10
0.0,3.242569181096506,2.3843371818055363,4.14783884111991,3.8683760683760684,0.0,5.144370128054957,3.4168320466856645,3.6994636572041055,2.924761904761905,11
4.982093663911845,0.0,2.2868346792427485,0.0,0.0,0.0,1.9959321012454798,0.0,0.0,4.0504460846934265,12
0.0,2.6145098039215684,2.444532815407067,0.0,0.0,0.0,4.863038277511961,0.0,4.045454545454545,0.0,13
0.0,0.0,0.0,0.0,4.572079772079771,0.0,5.098015165031222,0.0,0.0,5.371428571428571,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2827687776141388,15
4.411918225315355,3.6310379699879514,3.287585116980027,0.0,0.0,5.052623688155922,5.098015165031222,4.398870810278369,3.927843456991439,4.841269841269842,16
4.411918225315355,0.9537499999999997,3.4968855788761,3.738555770470664,4.572079772079771,4.695824881676808,4.529378402903811,3.122885661305892,4.549515001127904,3.6834253210119616,17
0.0,3.1967928905703817,3.4696223316912973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
0.0,2.276141737730825,3.0836221406956206,0.0,0.0,2.5526236881559217,3.99593210124548,3.944756873959732,0.0,0.0,19
0.0,2.313118279569892,0.0,0.0,0.0,0.0,2.99593210124548,3.703990102072378,0.0,0.0,20
0.0,2.8479362459092004,2.955549774937694,3.738555770470664,2.2572649572649572,4.552623688155922,4.348360276373374,3.9465481077336535,0.0,0.0,21
0.0,2.788915868809441,1.9499024642926128,0.0,3.663395225464191,4.052623688155922,4.270110422258006,0.0,0.0,0.0,22
0.0,2.2748211555790006,0.0,0.0,0.0,0.0,3.8204302537582047,0.0,0.0,0.0,23
0.0,2.137835967442564,0.0,0.0,0.0,0.0,0.0,3.2013511000097847,0.0,0.0,24
0.0,2.286372993963663,2.8739983420834485,0.0,0.0,2.5526236881559217,4.150433605974362,4.078478554074674,2.549515001127904,2.688709812172353,25
0.0,3.2211813186813187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
