iteration,movieId,title,rating
0,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.410785441490791
0,56782,There Will Be Blood (2007),4.275370223482221
0,1252,Chinatown (1974),4.02415587953421
0,79132,Inception (2010),3.71486429779302
0,150,Apollo 13 (1995),3.6203351871711305
0,8636,Spider-Man 2 (2004),3.4890464438651314
0,58559,"Dark Knight, The (2008)",3.452906986740257
0,165,Die Hard: With a Vengeance (1995),3.442924345967582
0,11,"American President, The (1995)",3.34730940930402
0,1210,Star Wars: Episode VI - Return of the Jedi (1983),3.3280276570737017
1,292,Outbreak (1995),3.1737548980353014
1,329,Star Trek: Generations (1994),3.1167987452966717
1,454,"Firm, The (1993)",3.1007164859159477
1,1610,"Hunt for Red October, The (1990)",2.9331764750647222
1,339,While You Were Sleeping (1995),2.9245790719763303
1,904,Rear Window (1954),2.9179759844191753
1,161,Crimson Tide (1995),2.880305101546169
1,4995,"Beautiful Mind, A (2001)",2.87379018772638
1,410,Addams Family Values (1993),2.8685672401081037
1,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",2.860952750777502
2,262,"Little Princess, A (1995)",2.988477051000125
2,5995,"Pianist, The (2002)",2.9860128709254923
2,3266,Man Bites Dog (C'est arrivé près de chez vous) (1992),2.95089863080693
2,930,Notorious (1946),2.9336361237804898
2,68157,Inglourious Basterds (2009),2.931078987608852
2,1234,"Sting, The (1973)",2.898459858779339
2,300,Quiz Show (1994),2.8903671943047713
2,1584,Contact (1997),2.8731433053834867
2,2501,October Sky (1999),2.8519028237594233
2,434,Cliffhanger (1993),2.848888878739588
3,25,Leaving Las Vegas (1995),2.777286555736142
3,50,"Usual Suspects, The (1995)",2.763014634692102
3,1299,"Killing Fields, The (1984)",2.754554341316962
3,1035,"Sound of Music, The (1965)",2.7453635024810357
3,420,Beverly Hills Cop III (1994),2.726980197354999
3,1219,Psycho (1960),2.7259718768313497
3,112552,Whiplash (2014),2.7104081638057114
3,2186,Strangers on a Train (1951),2.698267430195514
3,3978,"Legend of Bagger Vance, The (2000)",2.6966269665804474
3,76093,How to Train Your Dragon (2010),2.686841633134685
4,208,Waterworld (1995),2.5639487783205515
4,1259,Stand by Me (1986),2.501725339233542
4,21,Get Shorty (1995),2.4845642872182907
4,48516,"Departed, The (2006)",2.4771019379197607
4,16,Casino (1995),2.4736808255863876
4,48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",2.467184085327589
4,380,True Lies (1994),2.4649071610547404
4,594,Snow White and the Seven Dwarfs (1937),2.4619137376509723
4,48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),2.4612290538557215
4,1653,Gattaca (1997),2.46082007517433
5,541,Blade Runner (1982),2.607294646463576
5,1,Toy Story (1995),2.6051439491052713
5,17,Sense and Sensibility (1995),2.602686673249812
5,106920,Her (2013),2.587821917084197
5,527,Schindler's List (1993),2.585679810778763
5,1246,Dead Poets Society (1989),2.5839754814698566
5,5989,Catch Me If You Can (2002),2.5839225505402172
5,362,"Jungle Book, The (1994)",2.5833646939630728
5,54286,"Bourne Ultimatum, The (2007)",2.570903741404505
5,1307,When Harry Met Sally... (1989),2.564795345154776
6,36,Dead Man Walking (1995),2.6144368809047545
6,539,Sleepless in Seattle (1993),2.5997281054062107
6,99114,Django Unchained (2012),2.594929501150326
6,587,Ghost (1990),2.5859538603365086
6,661,James and the Giant Peach (1996),2.5828394184658543
6,34,Babe (1995),2.5799241242139384
6,3507,"Odd Couple, The (1968)",2.5597065497879767
6,3157,Stuart Little (1999),2.5581228439476416
6,119145,Kingsman: The Secret Service (2015),2.5456885414149384
